"Date","Value"
"2015-04-07",4121700000
"2015-04-08",3987330000
"2015-04-09",3957300000
"2015-04-10",3801350000
"2015-04-11",3823830000
"2015-04-12",3819790000
"2015-04-13",3646940000
"2015-04-14",3517520000
"2015-04-15",3562390000
"2015-04-16",3699750000
"2015-04-17",3619680000
"2015-04-18",3598160000
"2015-04-19",3647520000
"2015-04-20",3632380000
"2015-04-21",3630110000
"2015-04-22",3823050000
"2015-04-23",3793580000
"2015-04-24",3732770000
"2015-04-25",3700320000
"2015-04-26",3520130000
"2015-04-27",3594290000
"2015-04-28",3610710000
"2015-04-29",3638660000
"2015-04-30",3790390000
"2015-05-01",3776880000
"2015-05-02",3787050000
"2015-05-03",3880210000
"2015-05-04",3835460000
"2015-05-05",3782400000
"2015-05-06",3785880000
"2015-05-07",3825490000
"2015-05-08",3916210000
"2015-05-09",3862150000
"2015-05-10",3844430000
"2015-05-11",3885230000
"2015-05-12",3877170000
"2015-05-13",3897230000
"2015-05-14",3784930000
"2015-05-15",3808220000
"2015-05-16",3781430000
"2015-05-17",3776630000
"2015-05-18",3768250000
"2015-05-19",3735600000
"2015-05-20",3771590000
"2015-05-21",3795640000
"2015-05-22",3880140000
"2015-05-23",3886140000
"2015-05-24",3917440000
"2015-05-25",3854710000
"2015-05-26",3858630000
"2015-05-27",3865480000
"2015-05-28",3910670000
"2015-05-29",3935170000
"2015-05-30",3847740000
"2015-05-31",3841290000
"2015-06-01",3664670000
"2015-06-02",3720670000
"2015-06-03",3755390000
"2015-06-04",3735940000
"2015-06-05",3726380000
"2015-06-06",3727330000
"2015-06-07",3699290000
"2015-06-08",3778800000
"2015-06-09",3806560000
"2015-06-10",3788200000
"2015-06-11",3798050000
"2015-06-12",3819940000
"2015-06-13",3831500000
"2015-06-14",3883190000
"2015-06-15",3948490000
"2015-06-16",4133850000
"2015-06-17",4257280000
"2015-06-18",4253290000
"2015-06-19",4227820000
"2015-06-20",4206410000
"2015-06-21",4159950000
"2015-06-22",4215500000
"2015-06-23",4190900000
"2015-06-24",4135440000
"2015-06-25",4167300000
"2015-06-26",4157950000
"2015-06-27",4278480000
